,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,
1,25034,1.0,,,,,,,,
2,37534,1.0,,,,,,,,
3,50034,1.0,,,,,,,,
4,62534,1.0,,,,,,,,
5,75034,1.0,,,,,,,,
6,87534,1.0,,,,,,,,
7,100034,1.0,,,,,,,,
0,77287,,0.995268,,,,,,,
1,115819,,0.919552,,,,,,,
2,154361,,0.370112,,,,,,,
3,192891,,0.0665006,,,,,,,
4,231429,,0.0328767,,,,,,,
5,269967,,0.015193,,,,,,,
0,52578,,,1.0,,,,,,
1,78767,,,0.994022,,,,,,
2,104949,,,0.965629,,,,,,
3,131135,,,0.803238,,,,,,
4,157321,,,0.319303,,,,,,
5,183504,,,0.0396015,,,,,,
0,27870,,,,1.0,,,,,
1,41709,,,,1.0,,,,,
2,55539,,,,1.0,,,,,
3,69370,,,,0.999253,,,,,
4,83208,,,,0.993773,,,,,
5,97041,,,,0.985305,,,,,
0,89569,,,,,0.0,,,,
1,78085,,,,,0.93873,,,,
2,58051,,,,,0.960399,,,,
3,48951,,,,,0.971606,,,,
4,35676,,,,,0.971606,,,,
5,27551,,,,,0.971606,,,,
6,25331,,,,,0.971606,,,,
7,23514,,,,,0.971606,,,,
8,23346,,,,,0.971606,,,,
9,23333,,,,,0.971606,,,,
10,23333,,,,,0.971606,,,,
0,23333,,,,,,0.971606,,,
1,23333,,,,,,0.971606,,,
2,24183,,,,,,0.927522,,,
3,26169,,,,,,0.836862,,,
4,29181,,,,,,0.748941,,,
5,34164,,,,,,0.642341,,,
6,40921,,,,,,0.527273,,,
7,48890,,,,,,0.414695,,,
8,58270,,,,,,0.293151,,,
9,67698,,,,,,0.189041,,,
10,76186,,,,,,0.10934,,,
11,83117,,,,,,0.0505604,,,
12,87508,,,,,,0.0141968,,,
13,89336,,,,,,0.00174346,,,
14,89569,,,,,,0.0,,,
0,25948,,,,,,,0.952179,,
0,25948,,,,,,,0.952179,,
1,27212,,,,,,,0.952179,,
2,28460,,,,,,,0.952179,,
3,29708,,,,,,,0.952179,,
4,30956,,,,,,,0.952179,,
5,32212,,,,,,,0.936239,,
6,33460,,,,,,,0.922291,,
7,34708,,,,,,,0.912827,,
8,35956,,,,,,,0.906849,,
0,25948,,,,,,,,0.952179,
0,90226,,,,,,,,,0.0383562
