,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,Bloom Filter z=0.5,FST
0,900655,0.0,,,,,,
1,781253,0.0,,,,,,
2,607646,0.0,,,,,,
3,479000,3.00021e-05,,,,,,
4,361466,0.000120008,,,,,,
5,280390,0.00120008,,,,,,
6,204144,0.00627044,,,,,,
7,188872,0.0395728,,,,,,
8,185484,0.14278,,,,,,
9,185430,0.168822,,,,,,
10,185430,0.168822,,,,,,
0,900655,,0.0,,,,,
1,781253,,0.0,,,,,
2,609329,,0.0,,,,,
3,481062,,3.00021e-05,,,,,
4,366231,,0.000120008,,,,,
5,287400,,0.00120008,,,,,
6,212131,,0.00625044,,,,,
7,197401,,0.0393328,,,,,
8,194250,,0.13799,,,,,
9,194226,,0.159491,,,,,
10,194226,,0.159491,,,,,
0,900655,,,0.0,,,,
1,781253,,,0.0,,,,
2,609472,,,0.0,,,,
3,484152,,,3.00021e-05,,,,
4,370763,,,0.000120008,,,,
5,293589,,,0.00119008,,,,
6,218518,,,0.00624044,,,,
7,204068,,,0.0392327,,,,
8,200988,,,0.1374,,,,
9,200952,,,0.158901,,,,
10,200952,,,0.158901,,,,
0,900655,,,,0.0,,,
1,781253,,,,0.0,,,
2,609472,,,,0.0,,,
3,484152,,,,3.00021e-05,,,
4,370763,,,,0.000120008,,,
5,293780,,,,0.00119008,,,
6,219166,,,,0.00624044,,,
7,204738,,,,0.0392327,,,
8,201669,,,,0.13722,,,
9,201633,,,,0.158721,,,
10,201633,,,,0.158721,,,
0,211393,,,,,0.158661,,
0,51462,,,,,,0.348254,
1,102826,,,,,,0.0749952,
2,154196,,,,,,0.0245817,
3,205557,,,,,,0.00676047,
4,256927,,,,,,0.00206014,
5,308290,,,,,,0.000700049,
6,359657,,,,,,0.000330023,
7,411026,,,,,,0.000210015,
8,462394,,,,,,4.00028e-05,
9,513761,,,,,,4.00028e-05,
0,904509,,,,,,,0.0
