,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.706146,,,,
1,125034,0.534594,,,,
2,187534,0.36607,,,,
3,250034,0.230762,,,,
4,312534,0.137483,,,,
5,375034,0.0773606,,,,
6,437534,0.0475035,,,,
7,500034,0.0255863,,,,
8,562534,0.0149286,,,,
9,625034,0.00986178,,,,
0,62534,,0.781682,,,
1,125034,,0.748758,,,
2,187534,,0.729364,,,
3,250034,,0.714183,,,
4,312534,,0.701778,,,
5,375034,,0.693372,,,
6,437534,,0.689005,,,
7,500034,,0.685083,,,
8,562534,,0.682482,,,
9,625034,,0.680929,,,
0,555931,,,0.000310607,,
1,555675,,,0.0068916,,
2,539281,,,0.419436,,
3,523737,,,0.424348,,
4,442661,,,0.613605,,
5,396944,,,0.677066,,
6,369311,,,0.68551,,
7,326943,,,0.703118,,
8,262573,,,0.735984,,
9,216477,,,0.767627,,
10,191849,,,0.79331,,
11,184093,,,0.800648,,
12,176401,,,0.812199,,
13,174387,,,0.816237,,
14,173820,,,0.818023,,
15,173632,,,0.818567,,
16,173417,,,0.818722,,
17,173073,,,0.818722,,
18,173009,,,0.8188,,
19,173009,,,0.8188,,
0,453376,,,,0.455059,
0,555960,,,,,0.000776518
