,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,62534,0.715756,,,,,,
1,125034,0.356348,,,,,,
2,187534,0.213524,,,,,,
3,250034,0.148523,,,,,,
4,312534,0.104921,,,,,,
5,375034,0.0778029,,,,,,
6,437534,0.0611588,,,,,,
7,500034,0.0488588,,,,,,
8,562534,0.0404916,,,,,,
9,625034,0.0334186,,,,,,
0,87193,,0.70455,,,,,
1,149693,,0.348282,,,,,
2,212193,,0.208608,,,,,
3,274693,,0.14465,,,,,
4,337193,,0.101139,,,,,
5,399693,,0.0751643,,,,,
6,462193,,0.0592425,,,,,
7,524693,,0.0468222,,,,,
8,587193,,0.0393579,,,,,
9,649693,,0.033529,,,,,
0,356194,,,0.020015,,,,
1,418694,,,0.0170755,,,,
2,481194,,,0.0155104,,,,
3,543694,,,0.0140958,,,,
4,606194,,,0.0131327,,,,
5,668694,,,0.012601,,,,
6,731194,,,0.0120191,,,,
7,793694,,,0.011678,,,,
8,856194,,,0.0111563,,,,
9,918694,,,0.0110359,,,,
0,619910,,,,7.02282e-05,,,
1,682410,,,,7.02282e-05,,,
2,744910,,,,7.02282e-05,,,
3,807410,,,,5.0163e-05,,,
4,869910,,,,6.01956e-05,,,
5,932410,,,,6.01956e-05,,,
6,994910,,,,6.01956e-05,,,
7,1057410,,,,5.0163e-05,,,
8,1119910,,,,5.0163e-05,,,
9,1182410,,,,5.0163e-05,,,
0,1413844,,,,,1.00326e-05,,
1,1413517,,,,,1.00326e-05,,
2,1283496,,,,,1.00326e-05,,
3,1189098,,,,,1.00326e-05,,
4,1082190,,,,,9.02935e-05,,
5,985282,,,,,0.000100326,,
6,905584,,,,,0.000391272,,
7,819987,,,,,0.0004615,,
8,729601,,,,,0.00111362,,
9,622025,,,,,0.00299975,,
10,492700,,,,,0.00816654,,
11,429245,,,,,0.0171457,,
12,328060,,,,,0.0346827,,
13,228143,,,,,0.0902734,,
14,181719,,,,,0.156378,,
15,164163,,,,,0.192566,,
16,164063,,,,,0.196067,,
17,164063,,,,,0.196067,,
18,164063,,,,,0.196067,,
19,164063,,,,,0.196067,,
0,164045,,,,,,0.196077,
0,1413814,,,,,,,2.00652e-05
