,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,
1,25034,1.0,,,,,,,,
2,37534,1.0,,,,,,,,
3,50034,1.0,,,,,,,,
4,62534,1.0,,,,,,,,
5,75034,1.0,,,,,,,,
6,87534,1.0,,,,,,,,
7,100034,1.0,,,,,,,,
0,79001,,0.656069,,,,,,,
1,118420,,0.217875,,,,,,,
2,157869,,0.0526901,,,,,,,
3,197289,,0.0146732,,,,,,,
4,236735,,0.00222321,,,,,,,
5,276184,,0.00111161,,,,,,,
0,54559,,,0.812806,,,,,,
1,81766,,,0.339262,,,,,,
2,108981,,,0.0935972,,,,,,
3,136188,,,0.0269008,,,,,,
4,163399,,,0.00444642,,,,,,
5,190611,,,0.00133393,,,,,,
0,30112,,,,0.955313,,,,,
1,45086,,,,0.599378,,,,,
2,60090,,,,0.225211,,,,,
3,75062,,,,0.0655847,,,,,
4,90062,,,,0.017341,,,,,
5,105037,,,,0.00489106,,,,,
0,160494,,,,,0.0,,,,
1,147294,,,,,1.0,,,,
2,120898,,,,,1.0,,,,
3,107682,,,,,1.0,,,,
4,75730,,,,,1.0,,,,
5,49344,,,,,1.0,,,,
6,36317,,,,,1.0,,,,
7,19659,,,,,1.0,,,,
8,19658,,,,,1.0,,,,
9,19658,,,,,1.0,,,,
10,19658,,,,,1.0,,,,
0,19658,,,,,,1.0,,,
1,19658,,,,,,1.0,,,
2,19658,,,,,,1.0,,,
3,19658,,,,,,1.0,,,
4,19658,,,,,,1.0,,,
5,19658,,,,,,1.0,,,
6,19658,,,,,,1.0,,,
7,19658,,,,,,1.0,,,
8,19780,,,,,,0.998444,,,
9,21004,,,,,,0.988439,,,
10,31443,,,,,,0.902846,,,
11,107835,,,,,,0.367941,,,
12,160478,,,,,,0.0,,,
13,160494,,,,,,0.0,,,
14,160494,,,,,,0.0,,,
0,19610,,,,,,,1.0,,
1,20866,,,,,,,1.0,,
2,22114,,,,,,,1.0,,
3,23362,,,,,,,1.0,,
4,24610,,,,,,,1.0,,
5,25866,,,,,,,1.0,,
6,27114,,,,,,,1.0,,
7,28362,,,,,,,1.0,,
8,29610,,,,,,,1.0,,
0,19610,,,,,,,,1.0,
0,160462,,,,,,,,,0.0
