,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=1,Layered CHaREQ h=14 b=2,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.999762,,,,,,,,,,
1,25034,0.999762,,,,,,,,,,
2,37534,0.999762,,,,,,,,,,
3,50034,0.999762,,,,,,,,,,
4,62534,0.999762,,,,,,,,,,
5,75034,0.999762,,,,,,,,,,
6,87534,0.999762,,,,,,,,,,
7,100034,0.999762,,,,,,,,,,
0,59659,,0.0502142,,,,,,,,,
1,89417,,0.0026178,,,,,,,,,
2,119187,,0.0,,,,,,,,,
3,148952,,0.0,,,,,,,,,
4,178714,,0.0,,,,,,,,,
5,208480,,0.0,,,,,,,,,
0,75022,,,0.0,,,,,,,,
1,73359,,,0.0292718,,,,,,,,
2,70051,,,0.0575916,,,,,,,,
3,51988,,,0.348168,,,,,,,,
4,47890,,,0.39029,,,,,,,,
5,25720,,,0.763208,,,,,,,,
6,19308,,,0.814136,,,,,,,,
7,18334,,,0.820086,,,,,,,,
8,17772,,,0.826035,,,,,,,,
9,17763,,,0.826273,,,,,,,,
10,17763,,,0.826273,,,,,,,,
0,17763,,,,0.826273,,,,,,,
1,17763,,,,0.826273,,,,,,,
2,17764,,,,0.826273,,,,,,,
3,17764,,,,0.826273,,,,,,,
4,17767,,,,0.826273,,,,,,,
5,17823,,,,0.825559,,,,,,,
6,18005,,,,0.82199,,,,,,,
7,18610,,,,0.811756,,,,,,,
8,20886,,,,0.776773,,,,,,,
9,30855,,,,0.628272,,,,,,,
10,47536,,,,0.383865,,,,,,,
11,62703,,,,0.166111,,,,,,,
12,70918,,,,0.0552118,,,,,,,
13,74107,,,,0.012613,,,,,,,
14,74832,,,,0.0026178,,,,,,,
0,59784,,,,,0.123751,,,,,,
0,97635,,,,,,0.890766,,,,,
1,70090,,,,,,0.890766,,,,,
2,60908,,,,,,0.890766,,,,,
3,56317,,,,,,0.890766,,,,,
4,53562,,,,,,0.890766,,,,,
0,92432,,,,,,,0.930033,,,,
1,64887,,,,,,,0.930033,,,,
2,55705,,,,,,,0.930033,,,,
3,51114,,,,,,,0.930033,,,,
4,48359,,,,,,,0.930033,,,,
0,113611,,,,,,,,0.904331,,,
1,77271,,,,,,,,0.904331,,,
2,65158,,,,,,,,0.904331,,,
3,59102,,,,,,,,0.904331,,,
4,55468,,,,,,,,0.904331,,,
0,108994,,,,,,,,,0.939791,,
1,72654,,,,,,,,,0.939791,,
2,60541,,,,,,,,,0.939791,,
3,54485,,,,,,,,,0.939791,,
4,50851,,,,,,,,,0.939791,,
0,59784,,,,,0.123751,,,,,,
1,61048,,,,,0.123751,,,,,,
2,62296,,,,,0.123751,,,,,,
3,63544,,,,,0.123751,,,,,,
4,64792,,,,,0.123751,,,,,,
5,66048,,,,,0.122085,,,,,,
6,67296,,,,,0.119705,,,,,,
7,68544,,,,,0.116135,,,,,,
8,69792,,,,,0.115659,,,,,,
0,59784,,,,,,,,,,0.123751,
0,74990,,,,,,,,,,,0.0
