,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Range Bloom Filter,SuRF Real,SuRF Base,FST
0,555081,0.0,,,,,,
1,538525,0.133078,,,,,,
2,508959,0.139621,,,,,,
3,383040,0.435446,,,,,,
4,325783,0.463219,,,,,,
5,250636,0.559646,,,,,,
6,235864,0.568133,,,,,,
7,232916,0.569425,,,,,,
8,232540,0.569591,,,,,,
9,232194,0.569591,,,,,,
10,232194,0.569591,,,,,,
0,232194,,0.569591,,,,,
1,232194,,0.569591,,,,,
2,232590,,0.566438,,,,,
3,233986,,0.560725,,,,,
4,237482,,0.551302,,,,,
5,257234,,0.497475,,,,,
6,289287,,0.425573,,,,,
7,330425,,0.34689,,,,,
8,377902,,0.269179,,,,,
9,442179,,0.159713,,,,,
10,492085,,0.0829975,,,,,
11,525315,,0.0368641,,,,,
12,543016,,0.0141174,,,,,
13,551243,,0.00389977,,,,,
14,553808,,0.00112607,,,,,
0,112380,,,0.999443,,,,
1,124880,,,0.999324,,,,
2,137380,,,0.999111,,,,
3,149880,,,0.999123,,,,
4,162380,,,0.998767,,,,
5,174880,,,0.998495,,,,
0,12534,,,,1.0,,,
1,75034,,,,0.938576,,,
2,137534,,,,0.765409,,,
3,200034,,,,0.568904,,,
4,262534,,,,0.407318,,,
5,325034,,,,0.299156,,,
6,387534,,,,0.2296,,,
7,450034,,,,0.189678,,,
0,453038,,,,,0.133766,,
1,465550,,,,,0.133766,,
2,478046,,,,,0.133706,,
3,490542,,,,,0.133706,,
4,503046,,,,,0.132225,,
5,515550,,,,,0.130956,,
6,528046,,,,,0.130565,,
7,540542,,,,,0.130447,,
8,553046,,,,,0.130364,,
0,453038,,,,,,0.133766,
0,555088,,,,,,,0.000414869
