,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Range Bloom Filter,SuRF Real,SuRF Base,FST
0,1415807,1.00136e-05,,,,,,
1,1285587,1.00136e-05,,,,,,
2,1083924,0.000120163,,,,,,
3,906932,0.000300409,,,,,,
4,701975,0.00136185,,,,,,
5,493795,0.00773051,,,,,,
6,328983,0.0349075,,,,,,
7,182245,0.156523,,,,,,
8,164066,0.198981,,,,,,
9,164065,0.199011,,,,,,
10,164065,0.199011,,,,,,
0,164065,,0.199011,,,,,
1,164065,,0.199011,,,,,
2,164150,,0.198911,,,,,
3,164674,,0.19872,,,,,
4,166808,,0.197899,,,,,
5,173476,,0.196417,,,,,
6,190846,,0.192392,,,,,
7,256197,,0.18369,,,,,
8,341311,,0.167117,,,,,
9,489697,,0.141763,,,,,
10,702422,,0.108247,,,,,
11,952302,,0.0704859,,,,,
12,1176596,,0.0364195,,,,,
13,1323372,,0.0147501,,,,,
14,1390797,,0.00439598,,,,,
0,619882,,,3.00409e-05,,,,
1,632382,,,2.00272e-05,,,,
2,644882,,,2.00272e-05,,,,
3,657382,,,3.00409e-05,,,,
4,669882,,,2.00272e-05,,,,
5,682382,,,3.00409e-05,,,,
0,12534,,,,0.99992,,,
1,75034,,,,0.583944,,,
2,137534,,,,0.266993,,,
3,200034,,,,0.146309,,,
4,262534,,,,0.0918449,,,
5,325034,,,,0.0561764,,,
6,387534,,,,0.036049,,,
7,450034,,,,0.0254746,,,
0,164031,,,,,0.198931,,
1,176535,,,,,0.198931,,
2,189031,,,,,0.1988,,
3,201535,,,,,0.1988,,
4,214031,,,,,0.100006,,
5,250526,,,,,0.053653,,
6,263030,,,,,0.028659,,
7,275526,,,,,0.0148702,,
8,288022,,,,,0.00763038,,
0,164031,,,,,,0.198931,
0,1415776,,,,,,,2.00272e-05
