,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Range Bloom Filter,SuRF Real,SuRF Base,FST
0,869736,0.00816566,,,,,,
1,719123,0.0301501,,,,,,
2,530212,0.0792454,,,,,,
3,388443,0.178844,,,,,,
4,276765,0.341773,,,,,,
5,225764,0.464957,,,,,,
6,215448,0.502999,,,,,,
7,213760,0.510871,,,,,,
8,213195,0.511681,,,,,,
9,212923,0.511732,,,,,,
10,212923,0.511732,,,,,,
0,212923,,0.511732,,,,,
1,212923,,0.511732,,,,,
2,220114,,0.498794,,,,,
3,243248,,0.469181,,,,,
4,291849,,0.418809,,,,,
5,370422,,0.349857,,,,,
6,476163,,0.265911,,,,,
7,588576,,0.181468,,,,,
8,708005,,0.113174,,,,,
9,783064,,0.0624076,,,,,
10,829262,,0.0311329,,,,,
11,852949,,0.0169696,,,,,
12,863279,,0.0109416,,,,,
13,867443,,0.00880392,,,,,
14,868939,,0.0083075,,,,,
0,135207,,,0.233309,,,,
1,147707,,,0.180161,,,,
2,160207,,,0.147894,,,,
3,172707,,,0.125545,,,,
4,185207,,,0.109244,,,,
5,197707,,,0.098606,,,,
0,12534,,,,0.992766,,,
1,75034,,,,0.217018,,,
2,137534,,,,0.094898,,,
3,200034,,,,0.0545965,,,
4,262534,,,,0.0360566,,,
5,325034,,,,0.0253885,,,
6,387534,,,,0.0192896,,,
7,450034,,,,0.0148218,,,
0,221094,,,,,0.502958,,
1,233606,,,,,0.502958,,
2,246102,,,,,0.498744,,
3,258606,,,,,0.498744,,
4,271102,,,,,0.314388,,
5,283606,,,,,0.226288,,
6,296102,,,,,0.17618,,
7,308606,,,,,0.149748,,
8,321102,,,,,0.136902,,
0,221094,,,,,,0.502958,
0,870974,,,,,,,0.0180131
