,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,Layered CHaREQ h=13 b=3,SuRF Base,FST
0,12534,0.106679,,,,,,,,,
1,25034,0.0377758,,,,,,,,,
2,37534,0.0235721,,,,,,,,,
3,50034,0.0162184,,,,,,,,,
4,62534,0.0116853,,,,,,,,,
0,59708,,0.0111816,,,,,,,,
1,89486,,0.00100735,,,,,,,,
2,119278,,0.0,,,,,,,,
3,149052,,0.0,,,,,,,,
4,178847,,0.0,,,,,,,,
5,208624,,0.0,,,,,,,,
0,74722,,,0.0,,,,,,,
1,73050,,,0.0,,,,,,,
2,69730,,,0.0,,,,,,,
3,52071,,,0.0,,,,,,,
4,48023,,,0.0,,,,,,,
5,25806,,,0.0,,,,,,,
6,19487,,,0.00100735,,,,,,,
7,18515,,,0.00775662,,,,,,,
8,17937,,,0.0817971,,,,,,,
9,17926,,,0.141533,,,,,,,
10,17926,,,0.141533,,,,,,,
0,17926,,,,0.141533,,,,,,
1,17926,,,,0.141533,,,,,,
2,17926,,,,0.141533,,,,,,
3,17926,,,,0.141533,,,,,,
4,17929,,,,0.141533,,,,,,
5,17938,,,,0.141533,,,,,,
6,18076,,,,0.141533,,,,,,
7,18691,,,,0.141533,,,,,,
8,21474,,,,0.141533,,,,,,
9,31330,,,,0.141533,,,,,,
10,47280,,,,0.141533,,,,,,
11,62487,,,,0.14103,,,,,,
12,70663,,,,0.136698,,,,,,
13,73635,,,,0.11776,,,,,,
14,74581,,,,0.065478,,,,,,
0,59438,,,,,0.0537927,,,,,
0,63031,,,,,,0.0535912,,,,
1,56983,,,,,,0.0535912,,,,
2,53354,,,,,,0.0535912,,,,
3,50935,,,,,,0.0535912,,,,
4,49207,,,,,,0.0535912,,,,
5,47911,,,,,,0.0535912,,,,
0,58439,,,,,,,0.102246,,,
1,52391,,,,,,,0.102246,,,
2,48762,,,,,,,0.102246,,,
3,46343,,,,,,,0.102246,,,
4,44615,,,,,,,0.102246,,,
5,43319,,,,,,,0.102246,,,
0,53847,,,,,,,,0.158658,,
1,47799,,,,,,,,0.158658,,
2,44170,,,,,,,,0.158658,,
3,41751,,,,,,,,0.158658,,
4,40023,,,,,,,,0.158658,,
5,38727,,,,,,,,0.158658,,
0,59438,,,,,0.0537927,,,,,
1,60702,,,,,0.0537927,,,,,
2,61950,,,,,0.0537927,,,,,
3,63198,,,,,0.0537927,,,,,
4,64446,,,,,0.0537927,,,,,
5,65694,,,,,0.0414022,,,,,
6,66950,,,,,0.019039,,,,,
7,68198,,,,,0.00896545,,,,,
8,69446,,,,,0.00503677,,,,,
0,59438,,,,,,,,,0.0537927,
0,74690,,,,,,,,,,0.0
