,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,Layered CHaREQ h=13 b=3,SuRF Base,FST
0,12534,0.724551,,,,,,,,,
1,25034,0.722412,,,,,,,,,
2,37534,0.719418,,,,,,,,,
3,50034,0.717707,,,,,,,,,
4,62534,0.715783,,,,,,,,,
5,75034,0.715569,,,,,,,,,
6,87534,0.715783,,,,,,,,,
7,100034,0.715355,,,,,,,,,
0,59708,,0.0479042,,,,,,,,
1,89486,,0.00320787,,,,,,,,
2,119278,,0.000427716,,,,,,,,
3,149052,,0.0,,,,,,,,
4,178847,,0.0,,,,,,,,
5,208624,,0.0,,,,,,,,
0,74722,,,0.0,,,,,,,
1,73050,,,0.399059,,,,,,,
2,69730,,,0.399059,,,,,,,
3,52071,,,0.65911,,,,,,,
4,48023,,,0.663388,,,,,,,
5,25806,,,0.750855,,,,,,,
6,19487,,,0.814157,,,,,,,
7,18515,,,0.838965,,,,,,,
8,17937,,,0.852652,,,,,,,
9,17926,,,0.854363,,,,,,,
10,17926,,,0.854363,,,,,,,
0,17926,,,,0.854363,,,,,,
1,17926,,,,0.854363,,,,,,
2,17926,,,,0.854363,,,,,,
3,17926,,,,0.854363,,,,,,
4,17929,,,,0.853935,,,,,,
5,17938,,,,0.853507,,,,,,
6,18076,,,,0.848589,,,,,,
7,18691,,,,0.835115,,,,,,
8,21474,,,,0.772669,,,,,,
9,31330,,,,0.622754,,,,,,
10,47280,,,,0.386869,,,,,,
11,62487,,,,0.166595,,,,,,
12,70663,,,,0.0530368,,,,,,
13,73635,,,,0.0130453,,,,,,
14,74581,,,,0.00320787,,,,,,
0,59438,,,,,0.450385,,,,,
0,63031,,,,,,0.71621,,,,
1,56983,,,,,,0.717707,,,,
2,53354,,,,,,0.718349,,,,
3,50935,,,,,,0.718135,,,,
4,49207,,,,,,0.719204,,,,
5,47911,,,,,,0.718777,,,,
0,58439,,,,,,,0.71621,,,
1,52391,,,,,,,0.717707,,,
2,48762,,,,,,,0.718349,,,
3,46343,,,,,,,0.718135,,,
4,44615,,,,,,,0.719204,,,
5,43319,,,,,,,0.718777,,,
0,53847,,,,,,,,0.71621,,
1,47799,,,,,,,,0.717707,,
2,44170,,,,,,,,0.718349,,
3,41751,,,,,,,,0.718135,,
4,40023,,,,,,,,0.72006,,
5,38727,,,,,,,,0.719632,,
0,59438,,,,,0.450385,,,,,
1,60702,,,,,0.450385,,,,,
2,61950,,,,,0.450385,,,,,
3,63198,,,,,0.450385,,,,,
4,64446,,,,,0.450385,,,,,
5,65694,,,,,0.435843,,,,,
6,66950,,,,,0.419589,,,,,
7,68198,,,,,0.416168,,,,,
8,69446,,,,,0.413601,,,,,
0,59438,,,,,,,,,0.450385,
0,74690,,,,,,,,,,0.0
