,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,Layered CHaREQ h=13 b=3,SuRF Base,FST
0,12534,0.05011,,,,,,,,,
1,25034,0.00610122,,,,,,,,,
2,37534,0.0010002,,,,,,,,,
3,50034,0.00070014,,,,,,,,,
4,62534,0.00080016,,,,,,,,,
5,75034,0.00030006,,,,,,,,,
6,87534,0.00020004,,,,,,,,,
7,100034,0.0005001,,,,,,,,,
0,55651,,0.434387,,,,,,,,
1,83414,,0.109322,,,,,,,,
2,111179,,0.0237047,,,,,,,,
3,138945,,0.00440088,,,,,,,,
4,166705,,0.0015003,,,,,,,,
5,194470,,0.00040008,,,,,,,,
0,127820,,,0.00010002,,,,,,,
1,114604,,,0.00010002,,,,,,,
2,84593,,,0.00130026,,,,,,,
3,71478,,,0.00410082,,,,,,,
4,46238,,,0.0625125,,,,,,,
5,28315,,,0.309162,,,,,,,
6,24661,,,0.422885,,,,,,,
7,22991,,,0.491598,,,,,,,
8,22905,,,0.4977,,,,,,,
9,22818,,,0.4984,,,,,,,
10,22818,,,0.4984,,,,,,,
0,22818,,,,0.4984,,,,,,
1,22818,,,,0.4984,,,,,,
2,22826,,,,0.4984,,,,,,
3,22854,,,,0.4984,,,,,,
4,23029,,,,0.4983,,,,,,
5,23653,,,,0.4981,,,,,,
6,27087,,,,0.494099,,,,,,
7,37465,,,,0.472094,,,,,,
8,59736,,,,0.388278,,,,,,
9,92314,,,,0.231646,,,,,,
10,113151,,,,0.0942188,,,,,,
11,123335,,,,0.0274055,,,,,,
12,125940,,,,0.00870174,,,,,,
13,126804,,,,0.00140028,,,,,,
14,127652,,,,0.00010002,,,,,,
0,22782,,,,,0.4979,,,,,
0,93265,,,,,,0.00080016,,,,
1,87016,,,,,,0.00080016,,,,
2,83266,,,,,,0.00080016,,,,
3,80765,,,,,,0.00080016,,,,
4,78980,,,,,,0.00080016,,,,
5,77640,,,,,,0.00080016,,,,
0,84077,,,,,,,0.00230046,,,
1,77828,,,,,,,0.00230046,,,
2,74078,,,,,,,0.00230046,,,
3,71577,,,,,,,0.00230046,,,
4,69792,,,,,,,0.00240048,,,
5,68452,,,,,,,0.0025005,,,
0,74890,,,,,,,,0.00810162,,
1,68641,,,,,,,,0.00820164,,
2,64891,,,,,,,,0.00820164,,
3,62390,,,,,,,,0.00810162,,
4,60605,,,,,,,,0.00830166,,
5,59265,,,,,,,,0.00840168,,
0,22782,,,,,0.4979,,,,,
1,24046,,,,,0.4979,,,,,
2,25294,,,,,0.4979,,,,,
3,26542,,,,,0.4979,,,,,
4,27790,,,,,0.4979,,,,,
5,29038,,,,,0.365873,,,,,
6,30294,,,,,0.243349,,,,,
7,31542,,,,,0.172535,,,,,
8,32790,,,,,0.128426,,,,,
0,22782,,,,,,,,,0.4979,
0,127788,,,,,,,,,,0.00010002
