,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,Layered CHaREQ h=13 b=3,SuRF Base,FST
0,12534,0.99976,,,,,,,,,
1,25034,0.999041,,,,,,,,,
2,37534,0.997361,,,,,,,,,
3,50034,0.997841,,,,,,,,,
4,62534,0.997122,,,,,,,,,
5,75034,0.996642,,,,,,,,,
6,87534,0.996642,,,,,,,,,
7,100034,0.996642,,,,,,,,,
0,59708,,0.042936,,,,,,,,
1,89486,,0.00215879,,,,,,,,
2,119278,,0.000719597,,,,,,,,
3,149052,,0.0,,,,,,,,
4,178847,,0.0,,,,,,,,
5,208624,,0.0,,,,,,,,
0,74722,,,0.0,,,,,,,
1,73050,,,0.0328616,,,,,,,
2,69730,,,0.0618853,,,,,,,
3,52071,,,0.33965,,,,,,,
4,48023,,,0.382586,,,,,,,
5,25806,,,0.751259,,,,,,,
6,19487,,,0.796834,,,,,,,
7,18515,,,0.80403,,,,,,,
8,17937,,,0.810506,,,,,,,
9,17926,,,0.810506,,,,,,,
10,17926,,,0.810506,,,,,,,
0,17926,,,,0.810506,,,,,,
1,17926,,,,0.810506,,,,,,
2,17926,,,,0.810506,,,,,,
3,17926,,,,0.810506,,,,,,
4,17929,,,,0.810506,,,,,,
5,17938,,,,0.810266,,,,,,
6,18076,,,,0.808587,,,,,,
7,18691,,,,0.798273,,,,,,
8,21474,,,,0.761334,,,,,,
9,31330,,,,0.60758,,,,,,
10,47280,,,,0.372991,,,,,,
11,62487,,,,0.162629,,,,,,
12,70663,,,,0.05349,,,,,,
13,73635,,,,0.0153514,,,,,,
14,74581,,,,0.00119933,,,,,,
0,59438,,,,,0.12545,,,,,
0,63031,,,,,,0.89254,,,,
1,56983,,,,,,0.894459,,,,
2,53354,,,,,,0.901655,,,,
3,50935,,,,,,0.903334,,,,
4,49207,,,,,,0.906932,,,,
5,47911,,,,,,0.905973,,,,
0,58439,,,,,,,0.924202,,,
1,52391,,,,,,,0.926361,,,
2,48762,,,,,,,0.933077,,,
3,46343,,,,,,,0.934757,,,
4,44615,,,,,,,0.938594,,,
5,43319,,,,,,,0.936436,,,
0,53847,,,,,,,,0.931398,,
1,47799,,,,,,,,0.933557,,
2,44170,,,,,,,,0.940273,,
3,41751,,,,,,,,0.941713,,
4,40023,,,,,,,,0.94555,,
5,38727,,,,,,,,0.943152,,
0,59438,,,,,0.12545,,,,,
1,60702,,,,,0.12545,,,,,
2,61950,,,,,0.12545,,,,,
3,63198,,,,,0.12545,,,,,
4,64446,,,,,0.12545,,,,,
5,65694,,,,,0.121852,,,,,
6,66950,,,,,0.119453,,,,,
7,68198,,,,,0.118254,,,,,
8,69446,,,,,0.117294,,,,,
0,59438,,,,,,,,,0.12545,
0,74690,,,,,,,,,,0.0
