,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,Layered CHaREQ h=13 b=3,SuRF Base,FST
0,12534,0.150451,,,,,,,,,
1,25034,0.0477432,,,,,,,,,
2,37534,0.0257773,,,,,,,,,
3,50034,0.0138415,,,,,,,,,
4,62534,0.0112337,,,,,,,,,
5,75034,0.00922768,,,,,,,,,
6,87534,0.00732197,,,,,,,,,
7,100034,0.00692076,,,,,,,,,
0,52683,,0.992377,,,,,,,,
1,78925,,0.950853,,,,,,,,
2,105166,,0.826881,,,,,,,,
3,131405,,0.531093,,,,,,,,
4,157636,,0.0602808,,,,,,,,
5,183877,,0.0152457,,,,,,,,
0,90178,,,0.0,,,,,,,
1,78546,,,0.0,,,,,,,
2,58237,,,0.0,,,,,,,
3,49209,,,0.0,,,,,,,
4,35939,,,0.0,,,,,,,
5,27628,,,0.0,,,,,,,
6,25292,,,0.00170512,,,,,,,
7,23417,,,0.0498495,,,,,,,
8,23253,,,0.161083,,,,,,,
9,23247,,,0.216048,,,,,,,
10,23247,,,0.216048,,,,,,,
0,23247,,,,0.216048,,,,,,
1,23247,,,,0.216048,,,,,,
2,24116,,,,0.216048,,,,,,
3,26004,,,,0.216048,,,,,,
4,29469,,,,0.216048,,,,,,
5,34526,,,,0.216048,,,,,,
6,41178,,,,0.216048,,,,,,
7,48798,,,,0.216048,,,,,,
8,57850,,,,0.216048,,,,,,
9,67120,,,,0.216048,,,,,,
10,76355,,,,0.215647,,,,,,
11,83657,,,,0.210832,,,,,,
12,88192,,,,0.179739,,,,,,
13,90072,,,,0.0618857,,,,,,
14,90178,,,,0.0,,,,,,
0,25546,,,,,0.216048,,,,,
0,72142,,,,,,0.0457372,,,,
1,66123,,,,,,0.0457372,,,,
2,62512,,,,,,0.0457372,,,,
3,60105,,,,,,0.0457372,,,,
4,58385,,,,,,0.0457372,,,,
5,57095,,,,,,0.0457372,,,,
0,66086,,,,,,,0.088666,,,
1,60067,,,,,,,0.088666,,,
2,56456,,,,,,,0.088666,,,
3,54049,,,,,,,0.088666,,,
4,52329,,,,,,,0.088666,,,
5,51039,,,,,,,0.088666,,,
0,60029,,,,,,,,0.145336,,
1,54010,,,,,,,,0.145336,,
2,50399,,,,,,,,0.145336,,
3,47992,,,,,,,,0.145336,,
4,46272,,,,,,,,0.145336,,
5,44982,,,,,,,,0.145336,,
0,25546,,,,,0.216048,,,,,
1,26810,,,,,0.216048,,,,,
2,28058,,,,,0.216048,,,,,
3,29306,,,,,0.216048,,,,,
4,30554,,,,,0.216048,,,,,
5,31802,,,,,0.144333,,,,,
6,33050,,,,,0.080341,,,,,
7,34306,,,,,0.0454363,,,,,
8,35554,,,,,0.0232698,,,,,
0,25546,,,,,,,,,0.216048,
0,90817,,,,,,,,,,0.0
