,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,Layered CHaREQ h=13 b=3,SuRF Base,FST
0,12534,0.992657,,,,,,,,,
1,25034,0.939472,,,,,,,,,
2,37534,0.852947,,,,,,,,,
3,50034,0.781901,,,,,,,,,
4,62534,0.743798,,,,,,,,,
5,75034,0.718198,,,,,,,,,
6,87534,0.704505,,,,,,,,,
7,100034,0.700139,,,,,,,,,
0,52683,,0.993848,,,,,,,,
1,78925,,0.957134,,,,,,,,
2,105166,,0.835086,,,,,,,,
3,131405,,0.540583,,,,,,,,
4,157636,,0.119468,,,,,,,,
5,183877,,0.0186545,,,,,,,,
0,90178,,,0.0,,,,,,,
1,78546,,,0.936892,,,,,,,
2,58237,,,0.959516,,,,,,,
3,49209,,,0.966462,,,,,,,
4,35939,,,0.96666,,,,,,,
5,27628,,,0.967057,,,,,,,
6,25292,,,0.967057,,,,,,,
7,23417,,,0.967057,,,,,,,
8,23253,,,0.967057,,,,,,,
9,23247,,,0.967057,,,,,,,
10,23247,,,0.967057,,,,,,,
0,23247,,,,0.967057,,,,,,
1,23247,,,,0.967057,,,,,,
2,24116,,,,0.898194,,,,,,
3,26004,,,,0.812661,,,,,,
4,29469,,,,0.71284,,,,,,
5,34526,,,,0.608057,,,,,,
6,41178,,,,0.490375,,,,,,
7,48798,,,,0.390951,,,,,,
8,57850,,,,0.282794,,,,,,
9,67120,,,,0.191705,,,,,,
10,76355,,,,0.107561,,,,,,
11,83657,,,,0.0470331,,,,,,
12,88192,,,,0.0130978,,,,,,
13,90072,,,,0.000396904,,,,,,
14,90178,,,,0.0,,,,,,
0,25546,,,,,0.942647,,,,,
0,72142,,,,,,0.740822,,,,
1,66123,,,,,,0.755309,,,,
2,62512,,,,,,0.773765,,,,
3,60105,,,,,,0.78071,,,,
4,58385,,,,,,0.796587,,,,
5,57095,,,,,,0.804525,,,,
0,66086,,,,,,,0.740822,,,
1,60067,,,,,,,0.755309,,,
2,56456,,,,,,,0.773765,,,
3,54049,,,,,,,0.78071,,,
4,52329,,,,,,,0.796587,,,
5,51039,,,,,,,0.804525,,,
0,60029,,,,,,,,0.740822,,
1,54010,,,,,,,,0.755309,,
2,50399,,,,,,,,0.773765,,
3,47992,,,,,,,,0.78071,,
4,46272,,,,,,,,0.796587,,
5,44982,,,,,,,,0.804525,,
0,25546,,,,,0.942647,,,,,
1,26810,,,,,0.942647,,,,,
2,28058,,,,,0.942647,,,,,
3,29306,,,,,0.94225,,,,,
4,30554,,,,,0.94225,,,,,
5,31802,,,,,0.920024,,,,,
6,33050,,,,,0.900576,,,,,
7,34306,,,,,0.888668,,,,,
8,35554,,,,,0.877555,,,,,
0,25546,,,,,,,,,0.942647,
0,90817,,,,,,,,,,0.0345307
