,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,,,
1,25034,1.0,,,,,,,,,,
2,37534,1.0,,,,,,,,,,
3,50034,0.999779,,,,,,,,,,
4,62534,0.998895,,,,,,,,,,
5,75034,0.998232,,,,,,,,,,
6,87534,0.998011,,,,,,,,,,
7,100034,0.996905,,,,,,,,,,
0,54554,,0.699381,,,,,,,,,
1,81749,,0.261494,,,,,,,,,
2,108972,,0.0738285,,,,,,,,,
3,136163,,0.0209991,,,,,,,,,
4,163387,,0.00795756,,,,,,,,,
5,190584,,0.00198939,,,,,,,,,
0,160643,,,0.0,,,,,,,,
1,147443,,,1.0,,,,,,,,
2,121031,,,1.0,,,,,,,,
3,107831,,,1.0,,,,,,,,
4,75875,,,1.0,,,,,,,,
5,49493,,,1.0,,,,,,,,
6,36397,,,1.0,,,,,,,,
7,19579,,,1.0,,,,,,,,
8,19579,,,1.0,,,,,,,,
9,19579,,,1.0,,,,,,,,
10,19579,,,1.0,,,,,,,,
0,19579,,,,1.0,,,,,,,
1,19579,,,,1.0,,,,,,,
2,19579,,,,1.0,,,,,,,
3,19579,,,,1.0,,,,,,,
4,19579,,,,1.0,,,,,,,
5,19579,,,,1.0,,,,,,,
6,19579,,,,1.0,,,,,,,
7,19591,,,,0.999779,,,,,,,
8,19681,,,,0.998674,,,,,,,
9,20409,,,,0.990937,,,,,,,
10,30057,,,,0.911583,,,,,,,
11,107921,,,,0.358753,,,,,,,
12,160643,,,,0.0,,,,,,,
13,160643,,,,0.0,,,,,,,
14,160643,,,,0.0,,,,,,,
0,75493,,,,,0.979001,,,,,,
1,72369,,,,,0.980769,,,,,,
2,70494,,,,,0.980769,,,,,,
3,69243,,,,,0.981653,,,,,,
4,68350,,,,,0.98298,,,,,,
5,67681,,,,,0.983201,,,,,,
0,75493,,,,,,0.979001,,,,,
1,72369,,,,,,0.980769,,,,,
2,70494,,,,,,0.980769,,,,,
3,69243,,,,,,0.981653,,,,,
4,68350,,,,,,0.98298,,,,,
5,67681,,,,,,0.983201,,,,,
0,19531,,,,,,,,,1.0,,
1,20787,,,,,,,,,1.0,,
2,22035,,,,,,,,,1.0,,
3,23283,,,,,,,,,1.0,,
4,24531,,,,,,,,,1.0,,
5,25787,,,,,,,,,1.0,,
6,27035,,,,,,,,,1.0,,
7,28283,,,,,,,,,1.0,,
8,29531,,,,,,,,,1.0,,
0,19531,,,,,,,,,,1.0,
0,160611,,,,,,,,,,,0.0
