,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.965439,,,,,,,,
1,25034,0.908822,,,,,,,,
2,37534,0.823101,,,,,,,,
3,50034,0.746476,,,,,,,,
4,62534,0.70714,,,,,,,,
5,75034,0.693042,,,,,,,,
6,87534,0.67849,,,,,,,,
7,100034,0.671896,,,,,,,,
0,81381,,0.112779,,,,,,,
1,122011,,0.0839018,,,,,,,
2,162638,,0.0811733,,,,,,,
3,203273,,0.0809459,,,,,,,
4,243899,,0.0809459,,,,,,,
5,284535,,0.0809459,,,,,,,
0,57275,,,0.133242,,,,,,
1,85852,,,0.0841291,,,,,,
2,114429,,,0.0811733,,,,,,
3,143006,,,0.0809459,,,,,,
4,171580,,,0.0809459,,,,,,
5,200163,,,0.0809459,,,,,,
0,33171,,,,0.673261,,,,,
1,49693,,,,0.16894,,,,,
2,66217,,,,0.081628,,,,,
3,82741,,,,0.0811733,,,,,
4,99265,,,,0.0809459,,,,,
5,115794,,,,0.0809459,,,,,
0,88291,,,,,0.0809459,,,,
1,77012,,,,,0.268986,,,,
2,57007,,,,,0.541382,,,,
3,48332,,,,,0.637335,,,,
4,35044,,,,,0.771487,,,,
5,26766,,,,,0.831969,,,,
6,24446,,,,,0.844475,,,,
7,22553,,,,,0.851978,,,,
8,22391,,,,,0.85266,,,,
9,22385,,,,,0.85266,,,,
10,22385,,,,,0.85266,,,,
0,22385,,,,,,0.85266,,,
1,22385,,,,,,0.85266,,,
2,23215,,,,,,0.834698,,,
3,25033,,,,,,0.801046,,,
4,28354,,,,,,0.748067,,,
5,33179,,,,,,0.676899,,,
6,39568,,,,,,0.590268,,,
7,47134,,,,,,0.496362,,,
8,56132,,,,,,0.397908,,,
9,65321,,,,,,0.296953,,,
10,74491,,,,,,0.206003,,,
11,81787,,,,,,0.134607,,,
12,86349,,,,,,0.0952706,,,
13,88193,,,,,,0.0814006,,,
14,88291,,,,,,0.0809459,,,
0,22706,,,,,,,0.846066,,
1,23850,,,,,,,0.846066,,
2,24978,,,,,,,0.846066,,
3,26114,,,,,,,0.784447,,
4,27242,,,,,,,0.784447,,
5,28378,,,,,,,0.743747,,
6,29506,,,,,,,0.707367,,
7,30634,,,,,,,0.685084,,
8,31770,,,,,,,0.66894,,
0,22706,,,,,,,,0.846066,
0,88259,,,,,,,,,0.0809459
