,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.997035,,,,
1,75034,0.865786,,,,
2,137534,0.8418,,,,
3,200034,0.839779,,,,
4,262534,0.83951,,,,
5,325034,0.83951,,,,
6,387534,0.83951,,,,
7,450034,0.83951,,,,
0,105878,,0.0,,,
1,93786,,0.121143,,,
2,77380,,0.307775,,,
3,73868,,0.348875,,,
4,73166,,0.357768,,,
5,73072,,0.358712,,,
6,73043,,0.359116,,,
7,73038,,0.359116,,,
8,73038,,0.359116,,,
9,73038,,0.359116,,,
10,73038,,0.359116,,,
11,73038,,0.359116,,,
12,73038,,0.359116,,,
13,73038,,0.359116,,,
14,73038,,0.359116,,,
15,73038,,0.359116,,,
16,73038,,0.359116,,,
17,73038,,0.359116,,,
18,73038,,0.359116,,,
19,73038,,0.359116,,,
0,97635,,,0.537529,,
0,161566,,,,0.505727,
1,146887,,,,0.512869,
2,134654,,,,0.527287,
3,124304,,,,0.549252,
4,115432,,,,0.555181,
5,107743,,,,0.556664,
6,101015,,,,0.581728,
7,95079,,,,0.577011,
8,89802,,,,0.591969,
9,85081,,,,0.595338,
0,120625,,,,,0.30252
