,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.323091,0.285321,,,
1,250002,0.104675,0.092439,,,
2,375002,0.032007,0.0279148,,,
3,500002,0.0106957,0.00941499,,,
4,625002,0.00329174,0.00290154,,,
5,750002,0.00112059,0.00100053,,,
6,875002,0.000380202,0.00034018,,,
7,1000002,0.000120064,0.000110058,,,
8,1125002,2.00106e-05,2.00106e-05,,,
9,1250002,2.00106e-05,2.00106e-05,,,
10,1375002,0.0,0.0,,,
11,1500002,0.0,0.0,,,
12,1625002,0.0,0.0,,,
13,1750002,0.0,0.0,,,
14,1875002,0.0,0.0,,,
15,2000002,0.0,0.0,,,
16,2125002,0.0,0.0,,,
17,2250002,0.0,0.0,,,
18,2375002,0.0,0.0,,,
19,2500002,0.0,0.0,,,
20,2625002,0.0,0.0,,,
21,2750002,0.0,0.0,,,
22,2875002,0.0,0.0,,,
23,3000002,0.0,0.0,,,
24,3125002,0.0,0.0,,,
25,655360,,,0.0960309,0.0840846,
26,786432,,,0.0501366,0.0438332,
27,917504,,,0.0250933,0.0220917,
28,1048576,,,0.0125066,0.0109558,
29,1179648,,,0.00614326,0.00541287,
30,1310720,,,0.00286152,0.00254135,
31,1441792,,,0.00139074,0.00127067,
32,1572864,,,0.000720382,0.000630334,
33,1703936,,,0.000420223,0.000360191,
34,1835008,,,0.000200106,0.00017009,
35,1966080,,,7.00371e-05,6.00318e-05,
36,453377,,,,,0.672136
37,465889,,,,,0.672136
38,478385,,,,,0.671986
39,490881,,,,,0.671986
40,503385,,,,,0.665823
41,515889,,,,,0.662581
42,528385,,,,,0.657408
43,540881,,,,,0.654507
44,553385,,,,,0.652746
