,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.470349,0.049651,,,
1,250002,0.224984,0.00256005,,,
2,375002,0.105622,0.000290006,,,
3,500002,0.051041,2.00004e-05,,,
4,625002,0.0247605,0.0,,,
5,750002,0.0112502,0.0,,,
6,875002,0.0051001,0.0,,,
7,1000002,0.00250005,0.0,,,
8,1125002,0.00104002,0.0,,,
9,1250002,0.000620012,0.0,,,
10,1375002,0.000270005,1.00002e-05,,,
11,1500002,0.000150003,0.0,,,
12,1625002,8.00016e-05,0.0,,,
13,1750002,6.00012e-05,0.0,,,
14,1875002,0.0,0.0,,,
15,2000002,1.00002e-05,0.0,,,
16,2125002,0.0,0.0,,,
17,2250002,0.0,0.0,,,
18,2375002,0.0,0.0,,,
19,2500002,0.0,0.0,,,
20,2625002,0.0,0.0,,,
21,2750002,0.0,0.0,,,
22,2875002,0.0,0.0,,,
23,3000002,0.0,0.0,,,
24,3125002,0.0,0.0,,,
25,1310720,,,0.0733115,5.0001e-05,
26,1572864,,,0.0371407,1.00002e-05,
27,1835008,,,0.0185504,1.00002e-05,
28,2097152,,,0.00915018,1.00002e-05,
29,2359296,,,0.00442009,1.00002e-05,
30,2621440,,,0.00216004,1.00002e-05,
31,2883584,,,0.00105002,1.00002e-05,
32,3145728,,,0.000580012,1.00002e-05,
33,3407872,,,0.000190004,1.00002e-05,
34,3670016,,,0.000100002,0.0,
35,3932160,,,6.00012e-05,0.0,
36,221111,,,,,0.0124702
37,233615,,,,,0.0124702
38,246119,,,,,0.0124502
39,258623,,,,,0.0124502
40,271119,,,,,0.00645013
41,283615,,,,,0.00313006
42,296119,,,,,0.00167003
43,308615,,,,,0.000910018
44,321119,,,,,0.000440009
