,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,1.0,,,,,,,,,,,,
1,137534,0.026974,,,,,,,,,,,,
2,262534,0.00307046,,,,,,,,,,,,
3,387534,0.00103015,,,,,,,,,,,,
4,512534,0.00060009,,,,,,,,,,,,
5,637534,0.000420063,,,,,,,,,,,,
6,762534,0.000280042,,,,,,,,,,,,
7,887534,0.000250038,,,,,,,,,,,,
0,1415123,,3.00045e-05,,,,,,,,,,,
1,1284759,,3.00045e-05,,,,,,,,,,,
2,1083462,,9.00135e-05,,,,,,,,,,,
3,906268,,0.000370056,,,,,,,,,,,
4,701548,,0.00122018,,,,,,,,,,,
5,493226,,0.00822123,,,,,,,,,,,
6,328518,,0.0349452,,,,,,,,,,,
7,182247,,0.154373,,,,,,,,,,,
8,164072,,0.196149,,,,,,,,,,,
9,164070,,0.196269,,,,,,,,,,,
10,164070,,0.196269,,,,,,,,,,,
0,164070,,,0.196269,,,,,,,,,,
1,164070,,,0.196269,,,,,,,,,,
2,164149,,,0.196219,,,,,,,,,,
3,164579,,,0.195979,,,,,,,,,,
4,166595,,,0.195249,,,,,,,,,,
5,172955,,,0.193719,,,,,,,,,,
6,190684,,,0.189128,,,,,,,,,,
7,256699,,,0.180207,,,,,,,,,,
8,343585,,,0.164625,,,,,,,,,,
9,491865,,,0.139501,,,,,,,,,,
10,705213,,,0.106216,,,,,,,,,,
11,954071,,,0.0686803,,,,,,,,,,
12,1175205,,,0.0358754,,,,,,,,,,
13,1322463,,,0.0137021,,,,,,,,,,
14,1391615,,,0.00321048,,,,,,,,,,
0,164046,,,,0.196259,,,,,,,,,
0,1447258,,,,,0.000350053,,,,,,,,
1,1374632,,,,,0.000320048,,,,,,,,
2,1314016,,,,,0.000350053,,,,,,,,
3,1262432,,,,,0.000370056,,,,,,,,
4,1218339,,,,,0.000370056,,,,,,,,
5,1179869,,,,,0.000370056,,,,,,,,
6,1146096,,,,,0.00033005,,,,,,,,
7,1116338,,,,,0.000360054,,,,,,,,
8,1089976,,,,,0.000350053,,,,,,,,
9,1066151,,,,,0.00033005,,,,,,,,
0,1575206,,,,,,0.00033005,,,,,,,
1,1510501,,,,,,0.000340051,,,,,,,
2,1456581,,,,,,0.00033005,,,,,,,
