,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.995617,,,,,,,,,,,,
1,137534,0.0894562,,,,,,,,,,,,
2,262534,0.0219062,,,,,,,,,,,,
3,387534,0.0093269,,,,,,,,,,,,
4,512534,0.00525389,,,,,,,,,,,,
5,637534,0.00308228,,,,,,,,,,,,
6,762534,0.00206153,,,,,,,,,,,,
7,887534,0.00132098,,,,,,,,,,,,
0,899883,,0.0,,,,,,,,,,,
1,780630,,0.0,,,,,,,,,,,
2,609244,,2.00148e-05,,,,,,,,,,,
3,480862,,3.00222e-05,,,,,,,,,,,
4,366408,,0.000180133,,,,,,,,,,,
5,287652,,0.00167124,,,,,,,,,,,
6,211976,,0.00659488,,,,,,,,,,,
7,197408,,0.0413206,,,,,,,,,,,
8,194320,,0.131317,,,,,,,,,,,
9,194282,,0.150621,,,,,,,,,,,
10,194282,,0.150621,,,,,,,,,,,
0,194282,,,0.150621,,,,,,,,,,
1,194282,,,0.150621,,,,,,,,,,
2,203637,,,0.150621,,,,,,,,,,
3,225279,,,0.150561,,,,,,,,,,
4,300648,,,0.150211,,,,,,,,,,
5,355704,,,0.149421,,,,,,,,,,
6,426508,,,0.14804,,,,,,,,,,
7,510614,,,0.146138,,,,,,,,,,
8,599905,,,0.139793,,,,,,,,,,
9,689981,,,0.126424,,,,,,,,,,
10,768057,,,0.109861,,,,,,,,,,
11,827695,,,0.0821708,,,,,,,,,,
12,865030,,,0.052679,,,,,,,,,,
13,885790,,,0.0290315,,,,,,,,,,
14,895348,,,0.0124692,,,,,,,,,,
0,211280,,,,0.149951,,,,,,,,,
0,896406,,,,,0.00616456,,,,,,,,
1,851350,,,,,0.00642475,,,,,,,,
2,813732,,,,,0.00642475,,,,,,,,
3,781946,,,,,0.00651482,,,,,,,,
4,754551,,,,,0.00668495,,,,,,,,
5,730771,,,,,0.00668495,,,,,,,,
6,709931,,,,,0.00642475,,,,,,,,
7,691503,,,,,0.00663491,,,,,,,,
8,674966,,,,,0.006755,,,,,,,,
9,660372,,,,,0.00696515,,,,,,,,
0,917439,,,,,,0.00605448,,,,,,,
1,873835,,,,,,0.00603447,,,,,,,
2,837499,,,,,,0.0060845,,,,,,,
3,806752,,,,,,0.00615455,,,,,,,
4,780399,,,,,,0.00605448,,,,,,,
