,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,90539,0.789805,0.789805,0.789805,,,
1,181001,0.543654,0.543654,0.543654,,,
2,271463,0.406489,0.406489,0.406489,,,
3,361927,0.292454,0.292454,0.292454,,,
4,452388,0.216882,0.216882,0.216882,,,
5,542848,0.159822,0.159822,0.159822,,,
6,633311,0.120227,0.120227,0.120227,,,
7,723774,0.0896776,0.0896776,0.0896776,,,
8,814236,0.0670644,0.0670644,0.0670644,,,
9,904696,0.0506213,0.0506213,0.0506213,,,
10,995158,0.0376349,0.0376349,0.0376349,,,
11,1085622,0.0279435,0.0279435,0.0279435,,,
12,1176083,0.022064,0.022064,0.022064,,,
13,1266549,0.0154308,0.0154308,0.0154308,,,
14,1357008,0.0120281,0.0120281,0.0120281,,,
15,1447472,0.00920681,0.00920681,0.00920681,,,
16,1537932,0.00691319,0.00691319,0.00691319,,,
17,1628396,0.00573945,0.00573945,0.00573945,,,
18,1718857,0.00402731,0.00402731,0.00402731,,,
19,1809317,0.00307971,0.00307971,0.00307971,,,
20,1899781,0.00218595,0.00218595,0.00218595,,,
21,1990243,0.00194904,0.00194904,0.00194904,,,
22,2080704,0.00128142,0.00128142,0.00128142,,,
23,2171166,0.00122758,0.00122758,0.00122758,,,
24,2261629,0.00083992,0.00083992,0.00083992,,,
25,1048576,,,,0.225971,0.225971,0.225971
26,1310720,,,,0.120895,0.120895,0.120895
27,1572864,,,,0.0607973,0.0607973,0.0607973
28,1835008,,,,0.0303448,0.0303448,0.0303448
29,2097152,,,,0.015517,0.015517,0.015517
30,2359296,,,,0.00805462,0.00805462,0.00805462
31,2621440,,,,0.00414576,0.00414576,0.00414576
32,2883584,,,,0.00205673,0.00205673,0.00205673
33,3145728,,,,0.00109836,0.00109836,0.00109836
34,3407872,,,,0.000516874,0.000516874,0.000516874
35,3670016,,,,0.00030151,0.00030151,0.00030151
36,3932160,,,,0.000172291,0.000172291,0.000172291
