,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.99962,,,,,,,,,,,,
1,137534,0.0355885,,,,,,,,,,,,
2,262534,0.00517124,,,,,,,,,,,,
3,387534,0.00172041,,,,,,,,,,,,
4,512534,0.00120029,,,,,,,,,,,,
5,637534,0.000850204,,,,,,,,,,,,
6,762534,0.00071017,,,,,,,,,,,,
7,887534,0.000570137,,,,,,,,,,,,
0,1414715,,0.0,,,,,,,,,,,
1,1284417,,0.0,,,,,,,,,,,
2,1082937,,4.00096e-05,,,,,,,,,,,
3,905859,,0.000390094,,,,,,,,,,,
4,701377,,0.00130031,,,,,,,,,,,
5,493128,,0.00771185,,,,,,,,,,,
6,328453,,0.0344583,,,,,,,,,,,
7,182301,,0.152677,,,,,,,,,,,
8,164102,,0.192556,,,,,,,,,,,
9,164102,,0.192556,,,,,,,,,,,
10,164102,,0.192556,,,,,,,,,,,
0,164102,,,0.192556,,,,,,,,,,
1,164102,,,0.192556,,,,,,,,,,
2,164182,,,0.192526,,,,,,,,,,
3,164682,,,0.192186,,,,,,,,,,
4,166889,,,0.191526,,,,,,,,,,
5,173333,,,0.189616,,,,,,,,,,
6,191196,,,0.185675,,,,,,,,,,
7,258407,,,0.177183,,,,,,,,,,
8,344370,,,0.160889,,,,,,,,,,
9,490194,,,0.137013,,,,,,,,,,
10,702304,,,0.104375,,,,,,,,,,
11,952161,,,0.066476,,,,,,,,,,
12,1175455,,,0.0342882,,,,,,,,,,
13,1322584,,,0.012703,,,,,,,,,,
14,1389690,,,0.00392094,,,,,,,,,,
0,164085,,,,0.192556,,,,,,,,,
0,1446807,,,,,0.000560134,,,,,,,,
1,1374230,,,,,0.000590142,,,,,,,,
2,1313527,,,,,0.000590142,,,,,,,,
3,1262042,,,,,0.000610146,,,,,,,,
4,1217825,,,,,0.000650156,,,,,,,,
5,1179547,,,,,0.000620149,,,,,,,,
6,1145817,,,,,0.000670161,,,,,,,,
7,1116142,,,,,0.000630151,,,,,,,,
8,1089448,,,,,0.000650156,,,,,,,,
9,1065715,,,,,0.000680163,,,,,,,,
0,1574806,,,,,,0.000640154,,,,,,,
1,1510123,,,,,,0.000600144,,,,,,,
2,1456221,,,,,,0.000650156,,,,,,,
