,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.999899,,,,,,,,,,,,
1,137534,0.41159,,,,,,,,,,,,
2,262534,0.222117,,,,,,,,,,,,
3,387534,0.138485,,,,,,,,,,,,
4,512534,0.10234,,,,,,,,,,,,
5,637534,0.0798277,,,,,,,,,,,,
6,762534,0.0637229,,,,,,,,,,,,
7,887534,0.0509581,,,,,,,,,,,,
0,1414715,,4.03629e-05,,,,,,,,,,,
1,1284417,,4.03629e-05,,,,,,,,,,,
2,1082937,,9.08164e-05,,,,,,,,,,,
3,905859,,0.000312812,,,,,,,,,,,
4,701377,,0.00110998,,,,,,,,,,,
5,493128,,0.00780012,,,,,,,,,,,
6,328453,,0.0346515,,,,,,,,,,,
7,182301,,0.155589,,,,,,,,,,,
8,164102,,0.194821,,,,,,,,,,,
9,164102,,0.194821,,,,,,,,,,,
10,164102,,0.194821,,,,,,,,,,,
0,164102,,,0.194821,,,,,,,,,,
1,164102,,,0.194821,,,,,,,,,,
2,164182,,,0.194781,,,,,,,,,,
3,164682,,,0.194559,,,,,,,,,,
4,166889,,,0.193863,,,,,,,,,,
5,173333,,,0.192168,,,,,,,,,,
6,191196,,,0.18801,,,,,,,,,,
7,258407,,,0.179009,,,,,,,,,,
8,344370,,,0.16348,,,,,,,,,,
9,490194,,,0.139363,,,,,,,,,,
10,702304,,,0.105075,,,,,,,,,,
11,952161,,,0.0667904,,,,,,,,,,
12,1175455,,,0.0335718,,,,,,,,,,
13,1322584,,,0.0128758,,,,,,,,,,
14,1389690,,,0.00387483,,,,,,,,,,
0,164085,,,,0.194832,,,,,,,,,
0,1446807,,,,,0.0533698,,,,,,,,
1,1374230,,,,,0.0538441,,,,,,,,
2,1313527,,,,,0.0548027,,,,,,,,
3,1262042,,,,,0.0552769,,,,,,,,
4,1217825,,,,,0.0559227,,,,,,,,
5,1179547,,,,,0.0566695,,,,,,,,
6,1145817,,,,,0.0574565,,,,,,,,
7,1116142,,,,,0.0576684,,,,,,,,
8,1089448,,,,,0.0584152,,,,,,,,
