,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.942262,,,,,,,,,,,,
1,137534,0.00971301,,,,,,,,,,,,
2,262534,0.00205064,,,,,,,,,,,,
3,387534,0.000920285,,,,,,,,,,,,
4,512534,0.000500155,,,,,,,,,,,,
5,637534,0.000340105,,,,,,,,,,,,
6,762534,0.000270084,,,,,,,,,,,,
7,887534,0.000260081,,,,,,,,,,,,
0,556195,,0.0,,,,,,,,,,,
1,539610,,0.0,,,,,,,,,,,
2,510124,,0.0,,,,,,,,,,,
3,383020,,0.0,,,,,,,,,,,
4,325483,,0.0,,,,,,,,,,,
5,250270,,1.00031e-05,,,,,,,,,,,
6,234384,,0.000100031,,,,,,,,,,,
7,231533,,0.000590183,,,,,,,,,,,
8,231126,,0.00622193,,,,,,,,,,,
9,230438,,0.090278,,,,,,,,,,,
10,230438,,0.090278,,,,,,,,,,,
0,230438,,,0.090278,,,,,,,,,,
1,230438,,,0.090278,,,,,,,,,,
2,230859,,,0.090278,,,,,,,,,,
3,232351,,,0.090278,,,,,,,,,,
4,235819,,,0.090278,,,,,,,,,,
5,255707,,,0.090268,,,,,,,,,,
6,287356,,,0.090268,,,,,,,,,,
7,328326,,,0.090248,,,,,,,,,,
8,375737,,,0.090228,,,,,,,,,,
9,440934,,,0.0901579,,,,,,,,,,
10,492238,,,0.0900079,,,,,,,,,,
11,525524,,,0.0897478,,,,,,,,,,
12,543147,,,0.0879473,,,,,,,,,,
13,551511,,,0.0466845,,,,,,,,,,
14,554679,,,0.0461843,,,,,,,,,,
0,454129,,,,0.0437836,,,,,,,,,
0,576905,,,,,0.00113035,,,,,,,,
1,547769,,,,,0.0012804,,,,,,,,
2,523561,,,,,0.00124038,,,,,,,,
3,502843,,,,,0.00112035,,,,,,,,
4,485273,,,,,0.00123038,,,,,,,,
5,469840,,,,,0.0013004,,,,,,,,
6,456174,,,,,0.00126039,,,,,,,,
7,444326,,,,,0.00126039,,,,,,,,
8,433759,,,,,0.0013004,,,,,,,,
9,424199,,,,,0.0012904,,,,,,,,
0,582160,,,,,,0.00109034,,,,,,,
1,553514,,,,,,0.00110034,,,,,,,
2,529643,,,,,,0.00109034,,,,,,,
3,509443,,,,,,0.00112035,,,,,,,
4,492130,,,,,,0.00108033,,,,,,,
5,477125,,,,,,0.00114035,,,,,,,
6,463996,,,,,,0.00115036,,,,,,,
7,452411,,,,,,0.00115036,,,,,,,
8,442113,,,,,,0.00117036,,,,,,,
9,432900,,,,,,0.00116036,,,,,,,
0,529643,,,,,,,0.00118037,,,,,,
1,500997,,,,,,,0.00122038,,,,,,
2,477125,,,,,,,0.00116036,,,,,,
3,456926,,,,,,,0.00122038,,,,,,
4,439612,,,,,,,0.00116036,,,,,,
5,424607,,,,,,,0.00122038,,,,,,
6,411478,,,,,,,0.00123038,,,,,,
7,399893,,,,,,,0.0012804,,,,,,
