,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.987885,,,,,,,,,,
1,25034,0.918846,,,,,,,,,,
2,37534,0.829038,,,,,,,,,,
3,50034,0.783077,,,,,,,,,,
4,62534,0.755,,,,,,,,,,
5,75034,0.744423,,,,,,,,,,
6,87534,0.741731,,,,,,,,,,
7,100034,0.738077,,,,,,,,,,
0,59675,,0.0425,,,,,,,,,
1,89443,,0.0025,,,,,,,,,
2,119217,,0.0,,,,,,,,,
3,148984,,0.0,,,,,,,,,
4,178761,,0.0,,,,,,,,,
5,208532,,0.0,,,,,,,,,
0,74939,,,0.0,,,,,,,,
1,73328,,,0.0234615,,,,,,,,
2,70086,,,0.0571154,,,,,,,,
3,51686,,,0.336154,,,,,,,,
4,47549,,,0.385,,,,,,,,
5,25949,,,0.735962,,,,,,,,
6,19625,,,0.793462,,,,,,,,
7,18601,,,0.801154,,,,,,,,
8,17985,,,0.807692,,,,,,,,
9,17909,,,0.807692,,,,,,,,
10,17909,,,0.807692,,,,,,,,
0,17909,,,,0.807692,,,,,,,
1,17909,,,,0.807692,,,,,,,
2,17909,,,,0.807692,,,,,,,
3,17909,,,,0.807692,,,,,,,
4,17912,,,,0.8075,,,,,,,
5,17935,,,,0.806923,,,,,,,
6,18087,,,,0.803846,,,,,,,
7,18939,,,,0.791731,,,,,,,
8,21420,,,,0.756154,,,,,,,
9,31146,,,,0.607692,,,,,,,
10,47769,,,,0.366731,,,,,,,
11,62011,,,,0.165,,,,,,,
12,70902,,,,0.0471154,,,,,,,
13,74126,,,,0.00942308,,,,,,,
14,74783,,,,0.00134615,,,,,,,
0,48261,,,,,0.909808,,,,,,
1,43673,,,,,0.909808,,,,,,
2,40920,,,,,0.914231,,,,,,
3,39085,,,,,0.914808,,,,,,
4,37774,,,,,0.913846,,,,,,
5,36791,,,,,0.915385,,,,,,
0,48261,,,,,,0.909808,,,,,
1,43673,,,,,,0.909808,,,,,
2,40920,,,,,,0.914231,,,,,
3,39085,,,,,,0.914808,,,,,
4,37774,,,,,,0.913846,,,,,
5,36791,,,,,,0.915385,,,,,
0,60033,,,,,,,,,0.126154,,
1,61289,,,,,,,,,0.126154,,
2,62537,,,,,,,,,0.126154,,
3,63785,,,,,,,,,0.125,,
4,65033,,,,,,,,,0.125,,
5,66289,,,,,,,,,0.121154,,
6,67537,,,,,,,,,0.118654,,
7,68785,,,,,,,,,0.116538,,
8,70033,,,,,,,,,0.115192,,
0,60033,,,,,,,,,,0.126154,
0,74907,,,,,,,,,,,0.0
