,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.0792775,,,,,,,,,,
1,25034,0.0230808,,,,,,,,,,
2,37534,0.0108379,,,,,,,,,,
3,50034,0.0080281,,,,,,,,,,
4,62534,0.00742599,,,,,,,,,,
5,75034,0.00612142,,,,,,,,,,
6,87534,0.00551932,,,,,,,,,,
7,100034,0.00541897,,,,,,,,,,
0,59675,,0.0122428,,,,,,,,,
1,89443,,0.00130457,,,,,,,,,
2,119217,,0.0,,,,,,,,,
3,148984,,0.0,,,,,,,,,
4,178761,,0.0,,,,,,,,,
5,208532,,0.0,,,,,,,,,
0,74939,,,0.0,,,,,,,,
1,73328,,,0.0,,,,,,,,
2,70086,,,0.0,,,,,,,,
3,51686,,,0.0,,,,,,,,
4,47549,,,0.0,,,,,,,,
5,25949,,,0.0,,,,,,,,
6,19625,,,0.00170597,,,,,,,,
7,18601,,,0.00792775,,,,,,,,
8,17985,,,0.0619167,,,,,,,,
9,17909,,,0.188259,,,,,,,,
10,17909,,,0.188259,,,,,,,,
0,17909,,,,0.188259,,,,,,,
1,17909,,,,0.188259,,,,,,,
2,17909,,,,0.188259,,,,,,,
3,17909,,,,0.188259,,,,,,,
4,17912,,,,0.188259,,,,,,,
5,17935,,,,0.188259,,,,,,,
6,18087,,,,0.188259,,,,,,,
7,18939,,,,0.188259,,,,,,,
8,21420,,,,0.188259,,,,,,,
9,31146,,,,0.188259,,,,,,,
10,47769,,,,0.188159,,,,,,,
11,62011,,,,0.187155,,,,,,,
12,70902,,,,0.181736,,,,,,,
13,74126,,,,0.163472,,,,,,,
14,74783,,,,0.130758,,,,,,,
0,48261,,,,,0.103964,,,,,,
1,43673,,,,,0.103964,,,,,,
2,40920,,,,,0.103964,,,,,,
3,39085,,,,,0.103964,,,,,,
4,37774,,,,,0.103964,,,,,,
5,36791,,,,,0.103964,,,,,,
0,48261,,,,,,0.103964,,,,,
1,43673,,,,,,0.103964,,,,,
2,40920,,,,,,0.103964,,,,,
3,39085,,,,,,0.103964,,,,,
4,37774,,,,,,0.103964,,,,,
5,36791,,,,,,0.103964,,,,,
0,60033,,,,,,,,,0.0139488,,
1,61289,,,,,,,,,0.0139488,,
2,62537,,,,,,,,,0.0139488,,
3,63785,,,,,,,,,0.0138485,,
4,65033,,,,,,,,,0.0138485,,
5,66289,,,,,,,,,0.0106372,,
6,67537,,,,,,,,,0.00461616,,
7,68785,,,,,,,,,0.00240843,,
8,70033,,,,,,,,,0.00140492,,
0,60033,,,,,,,,,,0.0139488,
0,74907,,,,,,,,,,,0.0
