,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Range Bloom Filter,SuRF Real,SuRF Base,FST
0,870078,0.0,,,,,,
1,743300,0.0,,,,,,
2,530729,0.0,,,,,,
3,388765,2.00078e-05,,,,,,
4,276913,3.00117e-05,,,,,,
5,225674,6.00234e-05,,,,,,
6,215370,0.000340133,,,,,,
7,213709,0.00171067,,,,,,
8,213219,0.0117746,,,,,,
9,212947,0.0171767,,,,,,
10,212947,0.0171767,,,,,,
0,212947,,0.0171767,,,,,
1,212947,,0.0171767,,,,,
2,219962,,0.0171767,,,,,
3,243522,,0.0171767,,,,,
4,291883,,0.0171667,,,,,
5,370982,,0.0171367,,,,,
6,475389,,0.0171267,,,,,
7,589281,,0.0169866,,,,,
8,708737,,0.0166565,,,,,
9,783952,,0.0163964,,,,,
10,829982,,0.0144456,,,,,
11,853898,,0.0120247,,,,,
12,863853,,0.00685267,,,,,
13,868101,,0.0033213,,,,,
14,869478,,0.00161063,,,,,
0,135525,,,3.00117e-05,,,,
1,148025,,,3.00117e-05,,,,
2,160525,,,3.00117e-05,,,,
3,173025,,,3.00117e-05,,,,
4,185525,,,3.00117e-05,,,,
5,198025,,,3.00117e-05,,,,
0,12534,,,,0.993137,,,
1,75034,,,,0.146187,,,
2,137534,,,,0.0330629,,,
3,200034,,,,0.0123848,,,
4,262534,,,,0.00530207,,,
5,325034,,,,0.00368144,,,
6,387534,,,,0.00267104,,,
7,450034,,,,0.00201078,,,
0,220815,,,,,0.0171767,,
1,233319,,,,,0.0171767,,
2,245823,,,,,0.0171767,,
3,258319,,,,,0.0171767,,
4,270823,,,,,0.00925361,,
5,283319,,,,,0.00516201,,
6,295823,,,,,0.00272106,,
7,308319,,,,,0.00152059,,
8,320823,,,,,0.000860336,,
0,220815,,,,,,0.0171767,
0,871254,,,,,,,0.0
