,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,
1,137534,0.770198,,,,,,
2,262534,0.4371,,,,,,
3,387534,0.264247,,,,,,
4,512534,0.204763,,,,,,
5,637534,0.185499,,,,,,
6,762534,0.178526,,,,,,
7,887534,0.176219,,,,,,
0,555081,,0.0,,,,,
1,538525,,0.0226814,,,,,
2,508959,,0.0566847,,,,,
3,383040,,0.258712,,,,,
4,325783,,0.339629,,,,,
5,250636,,0.4605,,,,,
6,235864,,0.479979,,,,,
7,232916,,0.483484,,,,,
8,232540,,0.484001,,,,,
9,232194,,0.484013,,,,,
10,232194,,0.484013,,,,,
0,232194,,,0.484013,,,,
1,232194,,,0.484013,,,,
2,232590,,,0.48308,,,,
3,233986,,,0.480798,,,,
4,237482,,,0.475377,,,,
5,257234,,,0.440063,,,,
6,289287,,,0.388232,,,,
7,330425,,,0.323503,,,,
8,377902,,,0.256039,,,,
9,442179,,,0.155706,,,,
10,492085,,,0.0831736,,,,
11,525315,,,0.0375586,,,,
12,543016,,,0.0147259,,,,
13,551243,,,0.00413536,,,,
14,553808,,,0.00127339,,,,
0,576028,,,,0.226739,,,
1,547024,,,,0.228983,,,
2,522848,,,,0.235652,,,
3,502258,,,,0.238174,,,
4,484593,,,,0.242007,,,
5,469226,,,,0.250189,,,
6,455635,,,,0.253379,,,
7,443803,,,,0.258599,,,
8,433069,,,,0.261372,,,
9,423487,,,,0.268685,,,
0,453038,,,,,0.101468,,
1,465550,,,,,0.101468,,
2,478046,,,,,0.0994251,,
3,490542,,,,,0.0994251,,
4,503046,,,,,0.0927934,,
5,515550,,,,,0.089528,,
6,528046,,,,,0.0879646,,
7,540542,,,,,0.0869812,,
8,553046,,,,,0.0864769,,
0,453038,,,,,,0.101468,
0,555088,,,,,,,0.000151294
