,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.999958,,,,,,
1,137534,0.911476,,,,,,
2,262534,0.674409,,,,,,
3,387534,0.456778,,,,,,
4,512534,0.320824,,,,,,
5,637534,0.244649,,,,,,
6,762534,0.20746,,,,,,
7,887534,0.188802,,,,,,
0,899719,,0.0,,,,,
1,780271,,0.192395,,,,,
2,608659,,0.428331,,,,,
3,480106,,0.584358,,,,,
4,365822,,0.701074,,,,,
5,287503,,0.766398,,,,,
6,211749,,0.788423,,,,,
7,196987,,0.795949,,,,,
8,193882,,0.797179,,,,,
9,193845,,0.797179,,,,,
10,193845,,0.797179,,,,,
0,193845,,,0.797179,,,,
1,193845,,,0.797179,,,,
2,203285,,,0.776838,,,,
3,225101,,,0.734783,,,,
4,299269,,,0.672782,,,,
5,355006,,,0.587526,,,,
6,427798,,,0.486187,,,,
7,512489,,,0.379274,,,,
8,602109,,,0.276378,,,,
9,690491,,,0.183809,,,,
10,766524,,,0.109855,,,,
11,826146,,,0.0565544,,,,
12,864797,,,0.0251934,,,,
13,886109,,,0.00889763,,,,
14,895422,,,0.0026311,,,,
0,895820,,,,0.228368,,,
1,850807,,,,0.233559,,,
2,813304,,,,0.239684,,,
3,781577,,,,0.244296,,,
4,754010,,,,0.250308,,,
5,730268,,,,0.255655,,,
6,709511,,,,0.259729,,,
7,691023,,,,0.264114,,,
8,674636,,,,0.270748,,,
9,659843,,,,0.275911,,,
0,210768,,,,,0.774122,,
1,223272,,,,,0.774122,,
2,273326,,,,,0.757586,,
3,285822,,,,,0.757586,,
4,298326,,,,,0.693916,,
5,310830,,,,,0.664493,,
6,323326,,,,,0.648183,,
7,335822,,,,,0.638507,,
8,348326,,,,,0.63391,,
0,210768,,,,,,0.774122,
0,903506,,,,,,,0.00606849
